,ID,shoe_height,EC_Code,use_RF,Date,Day,Time,scores_differ_but_one,score_differs,Temp_True,SOQ1,SOQ2,SOQ3,SOQ4,SOQ5,SOQ6,SOQ7,SOQ8,Shoe_comfort,Intoxicated,Drinks,Weather,Temp_Think,Cold,Age,Race,Sex_Orient,Heightfeet,Heightinches,Weight,Openshoes,Barelegs,Arms,Shoulders,Cleavage,Openback,Midriff,No_jacket,Jean_rips,Judged_shoe_comfort,Clothes_RF,HG_shoes,SOQ1_R,SOQ2_R,SOQ3_R,SOQ4_R,SOQ7_R,SOQ8_R,Self_Obj,height.just.inches,BMI,filter_$,use_RF_coded,test_1,combined_filter,full_SO,Zshoe_height,white
56,152,1,0,0,1052856:00:00,2,10:28:00.000000,0,1,56,6,6,6,6,6,6,1,6,6,1,0,1,46,6,26,2,NA,5,7,NA,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,6,1,2.875,67,NA,NA,1,1,NA,2.875,NA,0
57,153,1,1,1,1052856:00:00,2,10:19:00.000000,1,1,56,4,3,5,5,4,2,3,5,5,4,4,1,60,2,53,1,1,5,4,160,0,0,0,0,0,0,0,0,0,3,0,3,3,4,2,2,4,2,2.875,64,27.4609375,1,NA,NA,1,2.875,-0.632686650452512,1
58,158,1,1,1,1052856:00:00,2,11:15:00.000000,1,1,56,1,2,3,1,6,6,1,1,1,1,0,1,70,1,20,1,1,5,2,180,1,0,1,1,1,0,1,1,0,NA,6,3,6,5,4,6,6,6,5.625,62,32.9188345473465,1,NA,NA,1,5.625,-0.632686650452512,1
59,159,1,1,1,1052856:00:00,2,NA,1,1,56,6,6,6,1,4,1,3,6,6,1,0,1,55,4,18,6,4,5,4,122,0,1,1,1,1,0,0,1,0,3,5,3,1,1,1,6,4,1,2.375,64,20.93896484375,1,NA,NA,1,2.375,-0.632686650452512,0
60,161,1,1,1,1052856:00:00,2,11:00:00.000000,1,1,56,6,4,6,6,1,4,6,5,6,1,0,1,60,3,19,7,2,5,7,225,0,0,0,0,0,0,0,0,0,3,0,3,1,3,1,1,1,2,1.75,67,35.2361327689909,1,NA,NA,1,1.75,-0.632686650452512,0
61,162,1,0,0,1052856:00:00,2,10:47:00.000000,0,0,56,3,3,3,3,3,3,3,3,3,1,3,1,54,1,61,1,1,5,3,120,0,1,0,0,0,0,0,0,0,3,1,3,4,4,4,4,4,4,3.75,63,21.254724111867,0,1,1,NA,3.75,NA,1
62,200,1,0,0,1052856:00:00,2,12:03:00.000000,0,1,56,6,1,1,1,1,1,1,3,6,1,8,1,NA,1,25,1,1,NA,NA,NA,0,0,1,1,0,NA,0,1,1,3,4,3,1,6,6,6,6,4,3.875,NA,NA,NA,1,1,NA,3.875,NA,1
63,201,1,1,1,1052856:00:00,2,11:57:00.000000,1,1,56,1,3,4,2,6,6,1,6,6,4,5,2,58,4,21,4,3,5,0,100,0,0,1,1,1,1,0,1,0,3,5,3,6,4,3,5,6,1,4.625,60,19.5277777777778,1,NA,NA,1,4.625,-0.632686650452512,0
64,202,1,1,1,1052856:00:00,2,11:45:00.000000,1,1,56,3,4,4,3,2,3,3,4,6,3,1,2,60,3,20,5,1,5,7,120,0,0,0,0,1,0,1,1,0,3,3,3,4,3,3,4,4,3,3.25,67,18.7926041434618,1,NA,NA,1,3.25,-0.632686650452512,0
65,203,1,0,0,1052856:00:00,2,11:35:00.000000,0,0,56,1,1,1,1,1,1,1,1,1,4,6,2,60,6,19,1,3,5,7,110,1,0,1,1,0,1,1,1,0,3,6,3,6,6,6,6,6,6,4.75,67,17.2265537981733,0,1,1,NA,4.75,NA,1
66,229,1,1,1,1052856:00:00,2,11:57:00.000000,1,1,56,2,2,4,3,3,6,4,4,6,2,3,1,67,4,19,1,3,5,5,145,0,0,1,1,1,1,1,1,0,3,6,3,5,5,3,4,3,3,4,65,24.1266272189349,1,NA,NA,1,4,-0.632686650452512,1
67,232,1,1,1,1052856:00:00,2,11:23:00.000000,1,1,56,1,4,4,5,6,NA,1,3,6,3,2,2,76,2,20,1,1,5,1,105,0,1,0,0,0,0,1,0,0,3,2,3,6,3,3,2,6,4,4.28571428571429,61,19.8374092985757,1,NA,NA,1,NA,-0.632686650452512,1
68,233,1,1,1,1052856:00:00,2,11:00:00.000000,1,1,56,1,6,NA,6,4,3,6,3,6,1,0,1,60,2,21,5,2,5,9,125,0,0,0,0,0,0,0,0,0,3,0,3,6,1,NA,1,1,4,2.85714285714286,69,18.457256878807,1,NA,NA,1,NA,-0.632686650452512,0
69,279,1,1,1,1052856:00:00,2,12:06:00.000000,1,1,56,1,3,3,3,5,3,3,3,6,3,5,1,70,1,18,5,2,5,8,140,0,1,1,0,1,NA,1,1,1,3,6,3,6,4,4,4,4,4,4.25,68,21.2846020761246,1,NA,NA,1,4.25,-0.632686650452512,0
70,281,1,1,0,1052856:00:00,2,11:38:00.000000,1,1,56,1,6,6,3,2,2,1,3,6,1,0,1,60,2,19,1,2,5,0,NA,0,1,1,1,1,NA,1,1,0,3,6,3,6,1,1,4,6,4,3.25,60,NA,NA,1,1,NA,3.25,NA,1
71,282,1,1,1,1052856:00:00,2,11:12:00.000000,1,1,56,5,5,5,1,2,1,1,1,6,1,0,NA,NA,NA,21,2,NA,5,4,115,0,0,0,0,0,0,0,0,0,3,0,3,2,2,2,6,6,6,3.375,64,19.737548828125,1,NA,NA,1,3.375,-0.632686650452512,0
72,283,1,1,1,1052856:00:00,2,11:05:00.000000,1,1,56,2,5,3,1,5,5,2,2,6,3,4,1,60,3,21,2,1,5,5,126,0,1,1,0,0,NA,1,1,0,3,4,3,5,2,4,6,5,5,4.625,65,20.9652071005917,1,NA,NA,1,4.625,-0.632686650452512,0
73,284,1,1,1,1052856:00:00,2,10:57:00.000000,1,1,56,3,6,3,2,1,3,3,3,6,1,0,1,72,3,21,5,1,5,3,145,0,0,0,0,0,1,0,1,0,3,2,3,4,1,4,5,4,4,3.25,63,25.6827916351726,1,NA,NA,1,3.25,-0.632686650452512,0
74,285,1,1,1,1052856:00:00,2,10:47:00.000000,1,1,57,1,5,5,5,2,1,5,5,5,1,2,1,55,1,46,8,1,5,6,155,0,0,0,0,0,0,0,0,0,3,0,3,6,2,2,2,2,2,2.375,66,25.0149219467401,1,NA,NA,1,2.375,-0.632686650452512,0
75,286,1,1,1,1052856:00:00,2,NA,1,1,56,1,1,6,6,1,1,6,3,6,1,0,1,NA,2,20,2,1,5,8,145,0,0,0,0,0,0,1,0,0,3,1,2,6,6,1,1,1,4,2.625,68,22.0447664359862,1,NA,NA,1,2.625,-0.632686650452512,0
76,287,1,1,1,1052856:00:00,2,10:13:00.000000,1,1,57,1,2,3,2,6,6,2,3,6,2,3,1,62,4,28,1,3,5,6,NA,0,1,0,0,0,0,0,0,0,3,1,3,6,5,4,5,5,4,5.125,66,NA,NA,NA,NA,1,5.125,NA,1
77,32,2,1,1,1052856:00:00,2,11:21:00.000000,1,1,56,3,4,5,2,3,4,4,2,3,2,2,1,60,3,22,1,1,5,3,145,0,1,0,0,1,0,0,1,0,3,3,2,4,3,2,5,3,5,3.625,63,25.6827916351726,1,NA,NA,1,3.625,0.90628087767522,1
78,34,2,0,1,1052856:00:00,2,11:45:00.000000,1,1,56,3,4,NA,1,3,4,5,2,5,2,2,1,63,3,21,5,1,5,1,109,1,0,1,1,1,0,1,1,0,2,6,2,4,3,NA,6,2,5,3.85714285714286,61,20.5931201289976,1,NA,NA,1,NA,0.90628087767522,0
79,35,2,1,1,1052856:00:00,2,11:56:00.000000,1,1,56,3,3,4,4,2,3,3,4,6,3,0,2,NA,3,18,3,1,NA,NA,NA,0,1,0,0,1,0,0,0,0,3,2,3,4,4,3,3,4,3,3.25,NA,NA,NA,NA,NA,1,3.25,NA,0
80,37,2,1,0,1052856:00:00,2,12:15:00.000000,1,1,56,1,2,2,2,1,2,3,3,3,1,0,2,50,4,21,1,1,5,2,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,6,5,5,5,4,4,4,62,21.945889698231,1,1,1,NA,4,0.90628087767522,1
81,144,2,1,1,1052856:00:00,2,12:08:00.000000,1,1,56,5,2,4,3,2,4,5,3,3,1,0,1,58,3,NA,7,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,2,3,2,2,5,3,4,2,4,3.25,NA,NA,NA,NA,NA,1,3.25,NA,0
82,147,2,1,1,1052856:00:00,2,11:50:00.000000,1,1,56,1,2,4,4,5,2,5,4,3,2,2,1,60,3,28,1,1,5,5,110,1,1,0,0,1,0,0,0,0,1,3,1,6,5,3,3,2,3,3.625,65,18.3029585798817,1,NA,NA,1,3.625,0.90628087767522,1
